name,registered,times_kicked,nb_player_kills,nb_mob_kills,nb_deaths,nb_sessions,longest_session,avg_session,active_playtime,afk_time,favorite_world,geolocation
Stoupy51,1565641104777,30,858,806,1606,1399,23818635,1293315.9078,1179893218,629455737,Switch,France
Remelta,1673102504042,18,63,153,282,762,29867994,1729307.6614,1151819233,165913205,BuildSurvisland,France
GoldVision98,1506175517149,34,234,162,425,603,15577091,1340093.1343,752967028,55109132,Switch,France
Totay_,1676732345833,0,0,0,2,53,10317400,1238080.9811,30876652,34741640,S13 - Fafnir's Rest,France
Falmo_,1673102330791,83,2,11,79,224,13247595,1348667.2991,274093127,28008348,LobbySurvisland,France
Redemoles,1677168158324,3,204,111,490,379,23140194,1439105.4591,387359935,158061034,test_uhc_1,France
Antoineuuh,1677283055614,0,15,5,53,16,6786923,927557.5000,14840920,0,Switch,France
EdenMan,1673102766389,1,13,11,38,62,14583944,2533466.1935,131058483,26016421,S11 - Ecera,France
Maarcouscous,1664710521555,10,154,289,430,644,25694924,1357136.9441,734907894,139088298,BuildSurvisland,France
AirDox_,1681143380626,1,70,27,389,158,9464293,683530.8734,91963593,16034285,Switch,France
Bomby_,1506163253829,4,152,36,254,526,24310259,1891713.2510,834783662,160257508,S14 - Phain,France
P0cky_0,1680960784558,3,0,0,1,28,13557497,1426644.5714,39246670,699378,S09 - Zhen Zhou,Canada
Mr2Exil5D,1677958709831,2,0,1,2,21,6466875,1015702.6190,16403292,4926463,S11 - Ecera,France
Kenjai,1677960423280,0,7,1,20,23,11121101,2238454.6087,48499950,2984506,S14 - Phain,Switzerland
ElSanjo,1682252118542,0,0,0,1,10,6038893,795476.3000,3636080,4318683,S11 - Ecera,France
Shazin,1667257272009,69,215,250,448,1556,23420770,929551.7172,1090625073,355757399,BuildSurvisland,France
BerenGaldos,1680962224508,0,28,19,148,53,13699354,2400319.3585,96415935,30800991,S13 - Fafnir's Rest,France
Akariaa,1677872555583,1,9,1,56,78,11828852,2310463.7308,146659306,33556865,S14 - Phain,France
DontBeAKidLuca,1681565295423,0,2,0,6,22,13953645,2764268.7727,60199150,614763,S09 - Zhen Zhou,France
Rikumastolfu,1669493599425,3,22,3,59,64,13218923,2892983.1250,169360367,15790553,S13 - Fafnir's Rest,France
luigimario12,1682171515771,10,61,64,242,226,15687059,2186605.6460,475166273,19006603,S11 - Ecera,France
DontBeAKidAnna,1677959320130,0,0,1,0,4,5401467,1707232.2500,6828929,0,S11 - Ecera,France
Nebuleuh,1680961404308,0,3,0,11,7,5250872,1466102.4286,9031458,1231259,S11 - Ecera,France
Oraclette,1631368604281,19,98,290,523,444,14778372,1450737.7860,566277754,77849823,S11 - Ecera,France
Nintasma,1677946035430,0,0,2,0,25,13543564,2124830.7200,45307432,7813336,S09 - Zhen Zhou,France
scartvol,1664710509302,4,118,73,113,315,14880280,901717.8413,238996185,45044935,BuildSurvisland,France
Srangee,1680964177007,0,2,28,2,10,3398758,1006582.3000,9661380,404443,S11 - Ecera,France
_PiggyPig_,1687123136398,1,1,0,12,5,1470042,734577.6000,3672888,0,Switch,France
M4TOUW,1676728422284,11,51,254,114,228,14298828,1422295.8772,282189186,42094274,S14 - Phain,France
Eca_,1673101151801,6,33,5,54,108,13408346,1539185.5556,150800519,15431521,S11 - Ecera,France
math730,1673100211893,27,15,93,71,552,24588799,944151.8152,434997325,86174477,BuildSurvisland,France
xNicely,1681048170681,0,3,4,4,28,12555495,1265254.4286,35234313,192811,S11 - Ecera,France
Katar0s,1677959739580,1,0,0,0,8,7064147,1117249.7500,8937998,0,S09 - Zhen Zhou,France
_Diso,1672932686811,2,31,22,72,134,18593699,2521873.2985,269811854,68119168,BuildSurvisland,France
YiazElsio,1677959077880,2,0,1,1,16,14018965,2865634.2500,43195858,2654290,S09 - Zhen Zhou,France
Rafloppa,1678478606773,1,50,1,31,12,9982940,1714167.8333,20570014,0,S09 - Zhen Zhou,France
ArtiGrrr,1674916752953,10,227,288,653,247,14004336,1625086.2955,363265207,38131108,Switch,France
Rikumastolfo,1667251609666,11,81,28,184,159,15728191,1144389.4969,148797494,33160436,S11 - Ecera,France
